timeslot_type1,timeslot_type2,mean_avg_overtime_per_day_min,std_avg_overtime_per_day_min,mean_avg_wait_days,std_avg_wait_days,mean_avg_extra_wait_min,std_avg_extra_wait_min,policy,feasible
32,48,0.393231203971699,0.5458387165221632,1.1459804813412786,0.1695986475859165,1.801470754924127,0.3643413343435986,flexible,True
32,52,0.4261055648389474,0.5040548686300251,1.2960180778922834,0.2349971237806621,1.1266790846849846,0.2193396370502357,flexible,True
30,56,0.0826190383063527,0.1767975647863706,1.4364240777884634,0.2755717737359832,1.150371958372628,0.1956690740939268,flexible,True
28,60,0.201663492393777,0.301610679829062,1.4452316309029245,0.2716611153346478,1.5881321728603028,0.253670542590802,flexible,True
32,54,0.3689984650428369,0.4652516163764481,1.4471407718524227,0.2761850822132772,0.8980613158953139,0.1649816473709691,flexible,True
30,58,0.2486554627478686,0.293214306409256,1.4604281480037486,0.2795577943864998,0.9968746619728234,0.1640007684109535,flexible,True
34,52,0.2198669535995887,0.3150095401228953,1.587178322047862,0.3149372870125088,0.8786354026712739,0.1830383101085508,flexible,True
32,56,0.2133480652149969,0.2650515307665135,1.622464045083173,0.3189632652400379,0.7439579727247314,0.1513010355413091,flexible,True
28,64,0.3755600636705489,0.4045643638991148,1.7950410057606467,0.3181811486455904,1.413809097987911,0.2148300817451216,flexible,True
34,54,0.1140110183009508,0.2166484837797961,1.813034111308188,0.3463870358091086,0.6776168935301343,0.1612236270912554,flexible,True
32,58,0.2702744393438625,0.3833574533317128,1.8161848958717035,0.3461457592265254,0.6166528899708399,0.1337761582025145,flexible,True
34,56,0.1974955415118333,0.330443310643887,1.914989798540062,0.3674482318126133,0.5275784499476933,0.1271776608801951,flexible,True
28,66,0.2935483899330682,0.3225081288445972,1.96521395445632,0.3413045699814271,1.347239874420137,0.2203083512799157,flexible,True
30,62,0.0213609893078642,0.0653099692906996,2.0059142474561305,0.3527423647906593,0.8163323371035257,0.1379643136160311,flexible,True
32,60,0.0619513918345766,0.163416856021356,2.010168711523016,0.359557655595156,0.5267150795817854,0.1103658326206264,flexible,True
30,64,0.1251447979649082,0.2134486911413202,2.015255271824789,0.3536569411257214,0.7534878073627697,0.1256123073718281,flexible,True
32,62,0.2442894966672931,0.278726121767529,2.018270092731251,0.3596326759991179,0.4618955248528744,0.0948396606557012,flexible,True
34,58,0.1297920358216061,0.2203067763791893,2.1140530340442907,0.3783838318157974,0.4153977218034493,0.1010704192753818,flexible,True
30,66,0.4761208320742967,0.3424082298256505,2.175697606987392,0.3645958511306778,0.6978500100747088,0.1117998513615809,flexible,True
34,60,0.1352420053725712,0.1851277009875757,2.3040599039047094,0.3929334669936735,0.3362986233258421,0.0852109029492929,flexible,True
34,62,0.0224080188366267,0.0915767111768656,2.652930039251764,0.4066902095078471,0.2863228245071205,0.0719072997817327,flexible,True
32,64,0.0,0.0,2.6648539305448846,0.4016545847720613,0.4057888390989372,0.0795562660125865,flexible,True
32,66,0.0009302030733719,0.009302030733719,2.69455519989128,0.4088369129463666,0.363208291993673,0.0724166122995628,flexible,True
34,64,0.0229185777928267,0.0795369362348532,2.698843083344012,0.4077908407214208,0.2380751253790058,0.0591898721649905,flexible,True
34,66,0.1137833922853045,0.1823174111907503,2.712905144353476,0.4063165824197279,0.1996959022056815,0.0497702432390965,flexible,True
