timeslot_type1,timeslot_type2,mean_n_patients,mean_n_type1,mean_n_type2,mean_overtime_m0_min,std_overtime_m0_min,mean_overtime_m1_min,std_overtime_m1_min,mean_overtime_total_min,std_overtime_total_min,mean_avg_wait_type1_days,std_avg_wait_type1_days,mean_avg_wait_type2_days,std_avg_wait_type2_days,mean_avg_extra_wait_type1_min,std_avg_extra_wait_type1_min,mean_avg_extra_wait_type2_min,std_avg_extra_wait_type2_min,mean_avg_extra_wait_type1_days,mean_avg_extra_wait_type2_days
33,49,564.51,354.53,209.98,2.397439745346444,4.407642151108347,3.15873316785189,7.3149026261227394,5.556172913198334,9.00502191521492,1.3224696312446609,0.2507063665294908,1.3184686846050342,0.2570000374063725,1.4265169701303884,0.3200411851921688,1.401206230484453,0.3422315977966024,0.002641698092834052,0.002594826352748987
32,48,564.51,354.53,209.98,4.337687243901637,8.667944927410177,4.7138633601119615,8.712184762993727,9.051550604013599,12.583742035138494,1.1490321505984735,0.16854811421506757,1.140912764497528,0.1713752718760893,1.833789448301964,0.39829811876207244,1.7498550447802566,0.44553900451757744,0.003395906385744379,0.003240472305148624
32,49,564.51,354.53,209.98,6.232537377343472,10.131055258345055,6.131030893996428,9.259928331214137,12.3635682713399,13.147142865947194,1.153748529366363,0.1681408802753353,1.1450760651370688,0.17067858149053983,1.636138287122381,0.3553746010099887,1.5540628278733328,0.39950021238353445,0.003029885716893297,0.0028778941256913573
31,47,564.51,354.53,209.98,7.345200039107863,12.128293077857558,6.364514406382698,9.150661491519628,13.70971444549056,15.212652027863292,1.0429774978634274,0.10183331284456519,1.0312475858272945,0.10168070631750116,2.387340884487731,0.4935991963839117,2.2833184270998546,0.5946611128877629,0.004421001637940242,0.004228367457592324
31,49,564.51,354.53,209.98,6.416221991818317,11.346642422794485,7.356979627416047,9.401051740380469,13.773201619234364,13.136777092153453,1.092460183825425,0.13114404782153788,1.0823220713079567,0.13225367036522484,1.8911986782249566,0.38865916872408107,1.810105612149198,0.4517294847314865,0.0035022197744906604,0.003352047429905922
33,47,564.51,354.53,209.98,5.844529764560157,9.22668130254559,8.490625129862728,11.790139973772432,14.335154894422885,15.997610761216713,1.1570894196501624,0.16920285574164284,1.1489777591460149,0.17252567315884132,1.8710906003513816,0.4089295749884001,1.7592291596156135,0.4335293033387501,0.0034649825932432992,0.00325783177706595
30,49,564.51,354.53,209.98,8.113267433518642,12.431748425389161,7.635987980751006,11.134328210924684,15.749255414269648,16.80819041857997,1.0372094469820317,0.09850529856609053,1.0252417219190588,0.09846493955910163,2.254723421402567,0.44097539967321414,2.1460721809073253,0.5241643925452028,0.004175413743338087,0.003974207742420973
30,46,564.51,354.53,209.98,9.937617553934679,13.171985833150643,6.9751485194417,10.684222224636866,16.91276607337638,17.08212743790516,0.9821052879689599,0.0663968003190775,0.9691277173225419,0.06505125724754893,3.1414421593039354,0.6236980144221748,3.0205959802260702,0.6809813711190207,0.005817485480192472,0.00559369625967791
29,47,564.51,354.53,209.98,11.07739416154335,14.858517570219417,7.117724308332327,10.564698317697559,18.195118469875677,18.073291651737623,0.9650573792261163,0.0511170557579591,0.9518469716388007,0.050114044826562884,3.36018534936367,0.6195018909630056,3.229047302672476,0.711715507863648,0.006222565461784575,0.00597971722717125
28,47,564.51,354.53,209.98,9.204027600233076,14.359331867659323,9.357366422647033,14.822121791990279,18.56139402288011,19.432821846702318,0.9447913124614464,0.039185142347926485,0.9312034024829178,0.03777351679894256,4.029660809453097,0.7285618162077727,3.977185419755206,0.8458934055809001,0.007462334832320549,0.007365158184731866
