timeslot_type1,timeslot_type2,mean_avg_overtime_per_day_min,std_avg_overtime_per_day_min,mean_avg_wait_days,std_avg_wait_days,mean_avg_extra_wait_min,std_avg_extra_wait_min
32,64,0.0,0.0,2.6648539305448846,0.40165458477206134,0.4057888390989372,0.07955626601258657
32,66,0.0009302030733719082,0.009302030733719078,2.69455519989128,0.40883691294636665,0.36320829199367305,0.0724166122995628
30,62,0.02136098930786428,0.06530996929069967,2.0059142474561305,0.3527423647906593,0.8163323371035257,0.13796431361603112
34,62,0.022408018836626766,0.09157671117686562,2.6529300392517636,0.4066902095078471,0.2863228245071205,0.07190729978173273
34,64,0.022918577792826706,0.07953693623485322,2.698843083344012,0.4077908407214208,0.23807512537900585,0.05918987216499059
32,60,0.06195139183457667,0.16341685602135603,2.0101687115230162,0.359557655595156,0.5267150795817854,0.11036583262062648
30,56,0.08261903830635278,0.17679756478637063,1.4364240777884634,0.27557177373598324,1.150371958372628,0.19566907409392684
34,66,0.1137833922853045,0.18231741119075034,2.712905144353476,0.4063165824197279,0.19969590220568154,0.04977024323909653
34,54,0.11401101830095088,0.21664848377979612,1.8130341113081878,0.3463870358091086,0.6776168935301343,0.16122362709125546
30,64,0.12514479796490827,0.21344869114132023,2.015255271824789,0.3536569411257214,0.7534878073627697,0.12561230737182813
