timeslot_type1,timeslot_type2,mean_avg_overtime_per_day_min,std_avg_overtime_per_day_min,mean_avg_wait_days,std_avg_wait_days,mean_avg_extra_wait_min,std_avg_extra_wait_min,policy,feasible
32,50,0.046475598592489,0.2012468602033549,1.5663409481706756,0.3303847483376496,1.2888078385555717,0.2654921806748623,dedicated,True
32,52,0.1875085325092566,0.3414001952431867,1.5723803954684614,0.3302196201548826,1.0117180358006177,0.2033235895542423,dedicated,True
32,56,0.0101370202585921,0.071807889846386,1.9116977698055568,0.3369925853711912,0.6761538004010363,0.1400222751334216,dedicated,True
32,58,0.0609798105819892,0.1707817211933824,1.917162581741844,0.3368782602442509,0.5769526560124326,0.1201536642154424,dedicated,True
34,50,0.0440327887037175,0.1898453842328467,1.954495268271597,0.4125598874764578,1.0902427192034594,0.2504292107854011,dedicated,True
34,52,0.1789623048525171,0.3253276579319303,1.9605347155693829,0.4123868792206817,0.8131529164485058,0.1854790829789234,dedicated,True
34,56,0.0095876421791485,0.0680756112989277,2.2998520899064774,0.4169257684908496,0.4775886810489242,0.1120694618084029,dedicated,True
34,58,0.0594846932184491,0.1663411337373897,2.305316901842765,0.4167961004542994,0.3783875366603207,0.089128381200038,dedicated,True
32,62,0.0,0.0,2.438562134439658,0.3363190012429815,0.4672716036011655,0.0947179480958172,dedicated,True
32,64,0.0,0.0,2.443354447020978,0.3362351808677516,0.4302624973058389,0.0889942902777494,dedicated,True
32,66,0.0063746597494963,0.0314008395221642,2.448146759602297,0.3361514513388257,0.3997829180632674,0.0855671537205415,dedicated,True
34,62,0.0,0.0,2.82671645454058,0.4128625315505465,0.2687064842490534,0.0586566131410987,dedicated,True
34,64,0.0,0.0,2.831508767121899,0.4127615120645165,0.231697377953727,0.0504698155011059,dedicated,True
34,66,0.0063746597494963,0.0314008395221642,2.836301079703219,0.412660558877611,0.2012177987111555,0.0456160197238027,dedicated,True
