timeslot_type1,timeslot_type2,mean_n_patients,mean_n_type1,mean_n_type2,mean_overtime_m0_min,std_overtime_m0_min,mean_overtime_m1_min,std_overtime_m1_min,mean_overtime_total_min,std_overtime_total_min,mean_avg_wait_type1_days,std_avg_wait_type1_days,mean_avg_wait_type2_days,std_avg_wait_type2_days,mean_avg_extra_wait_type1_min,std_avg_extra_wait_type1_min,mean_avg_extra_wait_type2_min,std_avg_extra_wait_type2_min,mean_avg_extra_wait_type1_days,mean_avg_extra_wait_type2_days
28,42,564.51,354.53,209.98,12.708372291995193,12.094365591781331,10.28109607188979,17.28910447965083,22.98946836388498,19.853488648608295,1.03637760511346,0.11464353037439891,0.8588110564785925,0.01857992979181943,3.3439128248994034,0.664688397374641,10.723226457512208,2.333883849497858,0.006192431157221116,0.01985782677317075
28,36,564.51,354.53,209.98,12.708372291995193,12.094365591781331,15.064359040345284,23.76462808319152,27.772731332340474,26.5584383324002,1.03637760511346,0.11464353037439891,0.8048627387245189,0.014093293996301747,3.3439128248994034,0.664688397374641,26.571336253691378,3.915631953980665,0.006192431157221116,0.049206178247576615
28,40,564.51,354.53,209.98,12.708372291995193,12.094365591781331,15.246939833351902,21.316635592405948,27.955312125347092,24.282399185584595,1.03637760511346,0.11464353037439891,0.8392758736499847,0.015642339965968897,3.3439128248994034,0.664688397374641,14.928466729541013,2.907064948123053,0.006192431157221116,0.02764530875840928
28,38,564.51,354.53,209.98,12.708372291995193,12.094365591781331,16.362305947797832,24.497754043678494,29.070678239793025,27.11292244089088,1.03637760511346,0.11464353037439891,0.8218139985542837,0.014549151459678394,3.3439128248994034,0.664688397374641,20.23149107620803,3.4376942192273274,0.006192431157221116,0.03746572421520006
30,42,564.51,354.53,209.98,20.335314878553035,13.529985453507747,10.28109607188979,17.28910447965083,30.616410950442823,21.851332255192084,1.1748988096840633,0.20302269178034973,0.8588110564785925,0.01857992979181943,1.3167974611562718,0.29500596991264716,10.723226457512208,2.333883849497858,0.0024385138169560595,0.01985782677317075
30,36,564.51,354.53,209.98,20.335314878553035,13.529985453507747,15.064359040345284,23.76462808319152,35.39967391889832,28.785188619733677,1.1748988096840633,0.20302269178034973,0.8048627387245189,0.014093293996301747,1.3167974611562718,0.29500596991264716,26.571336253691378,3.915631953980665,0.0024385138169560595,0.049206178247576615
30,40,564.51,354.53,209.98,20.335314878553035,13.529985453507747,15.246939833351902,21.316635592405948,35.58225471190494,26.086725780331957,1.1748988096840633,0.20302269178034973,0.8392758736499847,0.015642339965968897,1.3167974611562718,0.29500596991264716,14.928466729541013,2.907064948123053,0.0024385138169560595,0.02764530875840928
30,38,564.51,354.53,209.98,20.335314878553035,13.529985453507747,16.362305947797832,24.497754043678494,36.697620826350864,29.443087338954417,1.1748988096840633,0.20302269178034973,0.8218139985542837,0.014549151459678394,1.3167974611562718,0.29500596991264716,20.23149107620803,3.4376942192273274,0.0024385138169560595,0.03746572421520006
26,42,564.51,354.53,209.98,26.80245089682044,23.509566484501605,10.28109607188979,17.28910447965083,37.08354696871023,29.2899176933582,0.9571974361607049,0.0704948342122102,0.8588110564785925,0.01857992979181943,8.517204860337547,1.4729363673653169,10.723226457512208,2.333883849497858,0.01577260159321768,0.01985782677317075
26,36,564.51,354.53,209.98,26.80245089682044,23.509566484501605,15.064359040345284,23.76462808319152,41.86680993716572,35.32222941843285,0.9571974361607049,0.0704948342122102,0.8048627387245189,0.014093293996301747,8.517204860337547,1.4729363673653169,26.571336253691378,3.915631953980665,0.01577260159321768,0.049206178247576615
