timeslot_type1,timeslot_type2,mean_overtime_total_min,std_overtime_total_min,mean_avg_wait_type1_days,std_avg_wait_type1_days,mean_avg_wait_type2_days,std_avg_wait_type2_days,mean_avg_extra_wait_type1_min,std_avg_extra_wait_type1_min,mean_avg_extra_wait_type2_min,std_avg_extra_wait_type2_min,mean_avg_extra_wait_type1_days,mean_avg_extra_wait_type2_days
32,64,0.0,0.0,2.6619697281690198,0.3941975955798557,2.669986372218404,0.4170242615939112,0.4132371632543576,0.09307732989051802,0.39358715836837876,0.11696517848173904,0.0007652540060265882,0.0007288651080895904
32,65,0.0,0.0,2.688207000474169,0.4012999894062184,2.6957580232429352,0.4244256091822122,0.38430062148412597,0.09123225506319033,0.3815701397570562,0.1063450050395618,0.0007116678175631962,0.0007066113699204746
32,66,0.02418527990766961,0.24185279907669605,2.692071907416793,0.40127954508540975,2.6990410955784125,0.42438809740832184,0.3636492550342518,0.08671909900482214,0.3627470300657022,0.10067695998061123,0.0006734245463597253,0.0006717537593809299
33,64,0.02837055981533922,0.24503049603554566,2.6901382191199534,0.4004389633763154,2.6971261562820588,0.4231844286057218,0.3141679965217335,0.07810967216945236,0.3018444063344367,0.10172020969903202,0.0005817925861513584,0.0005589711228415493
30,61,0.07434811263819029,0.43840592151755337,2.000956804335297,0.34750780501552414,2.0040571345100195,0.3628241865360995,0.865770665440406,0.17773093570679788,0.8328242725487585,0.18107695419629644,0.001603279010074826,0.0015422671713865893
33,65,0.08092639953834806,0.44088130368840356,2.694006990660115,0.4004158801714189,2.7004208150286724,0.4231495044216617,0.2939196699025876,0.07347875122096109,0.28267372280537556,0.09489363059886258,0.0005442956850047919,0.0005234698570469917
32,67,0.16229716891552243,0.9183252770838078,2.6959368143594173,0.40125917288563717,2.7023241679138907,0.42435061236050264,0.3464553615810755,0.08308895374353092,0.34676978686243715,0.09609931061004466,0.0006415840029279175,0.000642166271967476
31,60,0.29513298751876393,1.3886939907600082,2.0027899053222633,0.35464578426584287,2.0052948997321747,0.3688754492320017,0.6886944564496359,0.14947921411106976,0.661080072513098,0.16856210925717172,0.0012753601045363625,0.001224222356505737
31,67,0.3519985775946725,1.5669889774130166,2.659830500225839,0.3952115395430385,2.665888816300536,0.41624091899710947,0.48861532509689065,0.10591427951138717,0.48435669102188866,0.12370263000887374,0.0009048431946238715,0.0008969568352257198
33,66,0.47870949558002623,1.5565025402652395,2.6761637852509534,0.394227403867382,2.6822027404908733,0.4169966697792451,0.2744177176577737,0.07103132696768868,0.25909867164645595,0.08987651995872788,0.0005081809586255069,0.00047981235490084437
