timeslot_type1,timeslot_type2,mean_avg_overtime_per_day_min,std_avg_overtime_per_day_min,mean_avg_wait_days,std_avg_wait_days,mean_avg_extra_wait_min,std_avg_extra_wait_min
32,62,0.0,0.0,2.438562134439658,0.3363190012429815,0.4672716036011655,0.09471794809581727
32,64,0.0,0.0,2.443354447020978,0.3362351808677516,0.43026249730583893,0.08899429027774947
34,62,0.0,0.0,2.8267164545405796,0.4128625315505465,0.26870648424905347,0.05865661314109878
34,64,0.0,0.0,2.831508767121899,0.4127615120645165,0.23169737795372708,0.05046981550110594
32,66,0.006374659749496395,0.031400839522164214,2.448146759602297,0.33615145133882574,0.39978291806326743,0.08556715372054156
34,66,0.006374659749496395,0.031400839522164214,2.836301079703219,0.41266055887761105,0.20121779871115553,0.04561601972380271
34,56,0.009587642179148597,0.06807561129892777,2.2998520899064774,0.41692576849084967,0.47758868104892427,0.11206946180840295
32,56,0.010137020258592111,0.07180788984638606,1.9116977698055566,0.3369925853711912,0.6761538004010363,0.1400222751334216
34,50,0.044032788703717546,0.18984538423284672,1.954495268271597,0.4125598874764578,1.0902427192034594,0.25042921078540115
32,50,0.04647559859248901,0.20124686020335494,1.5663409481706756,0.3303847483376496,1.2888078385555715,0.2654921806748623
34,58,0.05948469321844916,0.16634113373738973,2.305316901842765,0.4167961004542994,0.37838753666032077,0.08912838120003806
32,58,0.06097981058198927,0.17078172119338247,1.9171625817418436,0.3368782602442509,0.5769526560124326,0.12015366421544241
34,52,0.17896230485251718,0.32532765793193036,1.9605347155693829,0.4123868792206817,0.8131529164485058,0.18547908297892346
32,52,0.18750853250925661,0.34140019524318677,1.5723803954684614,0.33021962015488265,1.0117180358006177,0.20332358955424237
34,46,0.2813673969479097,0.5233296612832623,1.8638666542313402,0.4118757741864855,2.119750596898716,0.5089924194516808
32,46,0.2950461437400776,0.547106963214693,1.475712334130419,0.32924518488697646,2.318315716250828,0.5176100629358746
34,42,0.40497140616425875,0.6780758721580695,1.8441870715230289,0.41296982384774455,4.135766453602816,0.8677140050053833
32,42,0.42535483915027955,0.7146735208071325,1.4560327514221079,0.3304838340722325,4.3343315729549285,0.8724437079381202
28,62,0.45912519191958734,0.4365915795107093,1.9540589585270467,0.17726110204289794,2.2230374399236585,0.4325342493018525
28,64,0.45912519191958734,0.4365915795107093,1.9588512711083663,0.1773284463146488,2.1860283336283324,0.4294098192627316
28,66,0.4654998516690838,0.4336773326352732,1.9636435836896857,0.17739597677289132,2.155548754385761,0.4278687169645667
34,60,0.5193784891733212,0.5307855060309804,2.310781713779053,0.41666651291321877,0.3117261415363036,0.0720556617038315
28,56,0.5237300011313054,0.5084285674424145,1.427194593892945,0.15063290408874994,2.4319196367235296,0.45475673840015796
32,60,0.5307349923587432,0.5404355494434723,1.9226273936781313,0.33676404582786607,0.5102912608884155,0.10610867171203034
28,58,0.5747382047058425,0.5478797549591807,1.4326594058292321,0.1506818298561115,2.332718492334926,0.44482574124925545
34,40,0.5977197234727198,0.8355376792896537,1.8369010091904625,0.4131291512989302,5.701244138176427,1.0860836871957062
28,50,0.6039165100972113,0.5773994910374649,1.081837772258064,0.09688850910289942,3.0445736748780647,0.5058240377791138
32,40,0.6282791920890984,0.8775257729057372,1.4487466890895413,0.3306344533338011,5.899809257528537,1.0897808070933397
34,48,0.6603492455345561,0.7921713293375607,1.8701297496653064,0.41166651258362197,1.5322776320336393,0.37363318880780855
34,44,0.6807805631684458,0.8285682441841338,1.850489500697232,0.41275963268520616,2.9671544373244667,0.6774256940831257
32,48,0.6922934143867817,0.8274075443009082,1.4819754295643854,0.32903617732606943,1.7308427513857516,0.3843120620065541
32,44,0.7152725431459153,0.8719550022874483,1.4623351805963107,0.33027303649125006,3.1657195566765783,0.6834031771918331
30,62,0.7362838947013215,0.4929663219589826,2.042004474050495,0.1926995463475223,0.9497775213107554,0.19152366394232842
30,64,0.7362838947013215,0.4929663219589826,2.0467967866318144,0.19271724335261145,0.912768415015429,0.18874251072934842
30,66,0.7426585544508179,0.490012091675896,2.0515890992131336,0.19273513363228498,0.8822888357728574,0.18748919715719686
28,52,0.7514372534192298,0.6367241016081463,1.0878772195558504,0.09688665362545885,2.767483872123112,0.47338026079920914
30,56,0.832572139641324,0.5610772450303272,1.515140109416393,0.17409576056738207,1.1586597181106264,0.2231627265187279
28,46,0.8798378552864752,0.7795204636124217,0.9912091582178074,0.07309171825033337,4.074081552573322,0.6744748563766257
30,58,0.8835803432158613,0.5805705584616513,1.5206049213526809,0.17408294454252143,1.0594585737220228,0.20890555304563804
30,50,0.9296055570228835,0.6254094059311381,1.1697832877815122,0.14040324443440305,1.7713137562651615,0.3120779424974182
26,62,0.9702651581966226,0.848728864374713,1.9039148781235564,0.17427116912820548,5.472518495059918,0.9581257891046318
26,64,0.9702651581966226,0.848728864374713,1.9087071907048758,0.17436156027423366,5.4355093887645936,0.9560975703695826
26,66,0.976639817946119,0.8455673831969568,1.9134995032861948,0.17445211991017803,5.405029809522021,0.9549512589058406
28,42,1.0224630891144562,0.8781508186010033,0.9715295755094964,0.07356338655076831,6.090097409277422,0.9705480442327369
28,60,1.048207723861465,0.7524543305268027,1.4381242177655194,0.15073107380526396,2.266057097210909,0.4384525483518215
30,52,1.076872507012282,0.7193291104614553,1.1758227350792985,0.14031730300148906,1.4942239535102082,0.2620548505468587
26,56,1.0963682725126658,0.9637595148302551,1.377050513489454,0.14409843269839204,5.681400691859791,0.9702923442743024
26,58,1.147376476087203,0.9715358260096415,1.3825153254257418,0.14417970307858252,5.582199547471184,0.9640798739220601
34,54,1.168490795286436,0.7538894661454237,1.9665741628671696,0.4122140116022887,0.6190801024221243,0.14136069126629963
30,46,1.205579038219498,0.824155832591332,1.0791546737412554,0.12990342788606504,2.8008216339604193,0.5402224229527163
26,50,1.2185513028506654,1.0730959017051447,1.0316936918545734,0.08071132179517206,6.294054730014325,0.9887049793339251
32,54,1.2251416414333516,0.7894937138669216,1.578419842766248,0.3300546756909088,0.8176452217742363,0.16230324930621057
28,40,1.2427986404404314,1.0693184697889508,0.9642435131769297,0.07364379279540374,7.65557509385103,1.1666699366100854
28,48,1.3005364480076371,0.9814769445473872,0.9974722536517738,0.072946606491855,3.486608587708245,0.5767673220241857
28,44,1.3339294579282501,1.032895817720105,0.9778320046836991,0.07339730519660097,4.921485392999071,0.8055950701290423
30,42,1.3453078463074406,0.9545857255875717,1.0594750910329445,0.13088331862399807,4.81683749066452,0.882843831194909
30,60,1.3569146739990392,0.7601375996425693,1.5260697332889677,0.1740704168455403,0.9927971785980056,0.2002208203765382
26,52,1.3665467718337974,1.0929549006287953,1.0377331391523594,0.0807731281407257,6.016964927259371,0.9705721023725568
26,46,1.5105858210349483,1.2692867129800214,0.9410650778143169,0.045156317885559565,7.323562607709582,1.0923850951927987
30,40,1.563470673285096,1.1393092871799377,1.0521890287003777,0.1310157629770039,6.382315175238128,1.097485655697246
26,60,1.6208459952428251,1.052206572204928,1.3879801373620293,0.14426127671918623,5.515538152347168,0.960800327938165
30,48,1.6231382817503601,1.0390518398100432,1.0854177691752218,0.1297208260742683,2.2133486690953417,0.41418329956778926
30,44,1.6533504761497548,1.0830842339682645,1.0657775202071469,0.13069130747140537,3.648225474386168,0.6971669306254918
26,42,1.6568893148847934,1.3091480319554938,0.9213854951060059,0.04504462903336321,9.339578464413684,1.2714584231650847
28,54,1.8371674737515589,0.9601695878560877,1.0939166668536366,0.09688570541823859,2.5734110580967293,0.4554866054182158
