timeslot_type1,timeslot_type2,mean_avg_overtime_per_day_min,std_avg_overtime_per_day_min,mean_avg_wait_days,std_avg_wait_days,mean_avg_extra_wait_min,std_avg_extra_wait_min
32,62,0.0,0.0,2.438562134439658,0.3363190012429815,0.4672716036011655,0.09471794809581727
32,64,0.0,0.0,2.443354447020978,0.3362351808677516,0.43026249730583893,0.08899429027774947
34,62,0.0,0.0,2.8267164545405796,0.4128625315505465,0.26870648424905347,0.05865661314109878
34,64,0.0,0.0,2.831508767121899,0.4127615120645165,0.23169737795372708,0.05046981550110594
32,66,0.006374659749496395,0.031400839522164214,2.448146759602297,0.33615145133882574,0.39978291806326743,0.08556715372054156
34,66,0.006374659749496395,0.031400839522164214,2.836301079703219,0.41266055887761105,0.20121779871115553,0.04561601972380271
34,56,0.009587642179148597,0.06807561129892777,2.2998520899064774,0.41692576849084967,0.47758868104892427,0.11206946180840295
32,56,0.010137020258592111,0.07180788984638606,1.9116977698055566,0.3369925853711912,0.6761538004010363,0.1400222751334216
34,50,0.044032788703717546,0.18984538423284672,1.954495268271597,0.4125598874764578,1.0902427192034594,0.25042921078540115
32,50,0.04647559859248901,0.20124686020335494,1.5663409481706756,0.3303847483376496,1.2888078385555715,0.2654921806748623
