timeslot_type1,timeslot_type2,mean_overtime_total_min,std_overtime_total_min,mean_avg_wait_type1_days,std_avg_wait_type1_days,mean_avg_wait_type2_days,std_avg_wait_type2_days,mean_avg_extra_wait_type1_min,std_avg_extra_wait_type1_min,mean_avg_extra_wait_type2_min,std_avg_extra_wait_type2_min,mean_avg_extra_wait_type1_days,mean_avg_extra_wait_type2_days
32,61,0.0,0.0,1.8008319420377452,0.5086047769874833,3.48374413835705,0.4226707383354723,0.5486709833967591,0.13541466889095735,0.38929165526726645,0.15282315563769527,0.0010160573766606654,0.0007209104727171599
32,62,0.0,0.0,1.8008319420377452,0.5086047769874833,3.4901795086145473,0.4226736645129309,0.5486709833967591,0.13541466889095735,0.33041381855442836,0.13366863637226356,0.0010160573766606654,0.0006118774417674601
32,63,0.0,0.0,1.8008319420377452,0.5086047769874833,3.496614878872045,0.42267659198834734,0.5486709833967591,0.13541466889095735,0.2757021375122862,0.11687188904244289,0.0010160573766606654,0.0005105595139116412
32,64,0.0,0.0,1.8008319420377452,0.5086047769874833,3.503050249129543,0.4226795207616945,0.5486709833967591,0.13541466889095735,0.23079523695009727,0.10268185911112257,0.0010160573766606654,0.0004273985869446245
32,65,0.0,0.0,1.8008319420377452,0.5086047769874833,3.50948561938704,0.42268245083294537,0.5486709833967591,0.13541466889095735,0.18906224603431457,0.09055225301752698,0.0010160573766606654,0.00035011527043391584
33,61,0.0933644983760314,0.5722304076917769,1.8144239203611798,0.5087436211625997,3.48374413835705,0.4226707383354723,0.3585981583524888,0.09524435140485733,0.38929165526726645,0.15282315563769527,0.0006640706636157201,0.0007209104727171599
33,62,0.0933644983760314,0.5722304076917769,1.8144239203611798,0.5087436211625997,3.4901795086145473,0.4226736645129309,0.3585981583524888,0.09524435140485733,0.33041381855442836,0.13366863637226356,0.0006640706636157201,0.0006118774417674601
33,63,0.0933644983760314,0.5722304076917769,1.8144239203611798,0.5087436211625997,3.496614878872045,0.42267659198834734,0.3585981583524888,0.09524435140485733,0.2757021375122862,0.11687188904244289,0.0006640706636157201,0.0005105595139116412
33,64,0.0933644983760314,0.5722304076917769,1.8144239203611798,0.5087436211625997,3.503050249129543,0.4226795207616945,0.3585981583524888,0.09524435140485733,0.23079523695009727,0.10268185911112257,0.0006640706636157201,0.0004273985869446245
33,65,0.0933644983760314,0.5722304076917769,1.8144239203611798,0.5087436211625997,3.50948561938704,0.42268245083294537,0.3585981583524888,0.09524435140485733,0.18906224603431457,0.09055225301752698,0.0006640706636157201,0.00035011527043391584
