timeslot_type1,timeslot_type2,mean_n_patients,mean_n_type1,mean_n_type2,mean_overtime_m0_min,std_overtime_m0_min,mean_overtime_m1_min,std_overtime_m1_min,mean_overtime_total_min,std_overtime_total_min,mean_avg_wait_type1_days,std_avg_wait_type1_days,mean_avg_wait_type2_days,std_avg_wait_type2_days,mean_avg_extra_wait_type1_min,std_avg_extra_wait_type1_min,mean_avg_extra_wait_type2_min,std_avg_extra_wait_type2_min,mean_avg_extra_wait_type1_days,mean_avg_extra_wait_type2_days
29,45,564.51,354.53,209.98,10.807805477394977,16.71841763323098,9.699628915655099,14.768505347814122,20.507434393050076,22.195799028320124,0.9448088661838601,0.04086734785484321,0.9313901312469249,0.03914395995555712,4.133488957932999,0.7537798344243706,4.053595401930171,0.9046268260325522,0.007654609181357407,0.007506658151722538
30,43,564.51,354.53,209.98,9.816883549234513,14.032568287762476,11.286395393044689,15.663854656157836,21.103278942279204,23.716227320775722,0.9438017200478417,0.04116879382619467,0.9305313552987183,0.03938165347345071,4.470637025280201,0.8002208988438073,4.277114852245616,0.919276782617427,0.008278957454222594,0.007920583059714102
31,44,564.51,354.53,209.98,8.221780136970274,11.998170404208706,13.495280869151054,18.09143127964467,21.71706100612133,20.54104120258513,0.9773402307361851,0.06170922615038953,0.9644115123110214,0.06008106373973601,3.447825479268923,0.6577341187224636,3.2942320325123826,0.7147993374565318,0.006384861998646157,0.006100429689837744
33,45,564.51,354.53,209.98,11.582793950890299,14.84879015968047,10.179467570298728,14.377135892777119,21.76226152118902,21.467502844990157,1.084736562470822,0.13100074082114746,1.0742055738822314,0.1314303461158324,2.4129221677015504,0.48012732578272405,2.2909986259442556,0.5889950502994774,0.004468374384632501,0.004242590048044918
31,45,564.51,354.53,209.98,9.89506694202822,14.065040694654295,14.568669534774846,18.117874934678454,24.46373647680307,22.475409770228268,0.9852751328463866,0.06383433929791603,0.9721913242586621,0.06236469777248158,3.035048734119483,0.5990094690700367,2.9225831201403754,0.6521826469205332,0.005620460618739786,0.005412190963222917
30,44,564.51,354.53,209.98,10.52635336057808,14.308377408196687,14.082277687070329,17.32276078461042,24.608631047648416,24.60239323982547,0.9487338263587104,0.04184039834014573,0.9352291656425403,0.04010082818645484,3.96471623521979,0.7291884999267801,3.7977732439260365,0.8381493800526023,0.0073420671022588705,0.007032913414677844
32,45,564.51,354.53,209.98,10.752382803175918,13.094975238677828,13.99483658226243,17.653096373245727,24.74721938543835,22.149600527137576,1.0233305001540243,0.08684044616124946,1.011076467548232,0.0859542088819593,2.6962648353182725,0.5512325100157662,2.5356043195448343,0.6306696228726432,0.004993083028367172,0.004695563554712656
29,42,564.51,354.53,209.98,11.0177399370323,16.52228884527568,14.319078940022425,17.806295291047824,25.336818877054725,25.640920546898684,0.9185383084931228,0.02888373011273685,0.9051463396914382,0.026438806147495997,5.897130851500654,1.0033586350233594,5.604760203088622,1.1025576845044573,0.010920612687964168,0.010379185561275229
33,43,564.51,354.53,209.98,12.210214688197992,16.337739124984182,13.25237713034585,14.599832420678402,25.46259181854384,23.8428544119444,1.0263986223972035,0.09041750669863523,1.014477392468248,0.08939246099987665,3.143280402658036,0.6203836490676061,3.0017521669916807,0.7342589822638046,0.005820889634551918,0.005558800309243852
28,45,564.51,354.53,209.98,13.27130866011496,16.53225891906456,12.939016063054344,17.331566421987343,26.2103247231693,25.3805523240162,0.9243916591886036,0.02912618583270031,0.9106297233277474,0.026821930961584584,4.99764315615303,0.8463529581368822,4.867086800688461,0.9920764234579431,0.009254894733616724,0.009013123704978632
