policy,timeslot_type1,timeslot_type2,replications,mean_overtime_total_min,std_overtime_total_min,mean_avg_wait_type1_days,std_avg_wait_type1_days,mean_avg_wait_type2_days,std_avg_wait_type2_days,mean_avg_extra_wait_type1_min,std_avg_extra_wait_type1_min,mean_avg_extra_wait_type2_min,std_avg_extra_wait_type2_min
dedicated,31,42,1000,11.818832360116607,19.01970384500514,1.4072681161685276,0.3555485232584116,0.8562740040118474,0.01691099050168039,0.850966830764732,0.20160523959167367,10.95634608795023,2.293693232231679
dedicated,29,42,1000,12.66024168473456,19.247550067203743,1.1582244612700274,0.21624854870897067,0.8562740040118474,0.01691099050168039,2.075579524102203,0.45254862240398575,10.95634608795023,2.293693232231679
dedicated,31,43,1000,14.322650758449134,20.690361518587856,1.4072681161685276,0.3555485232584116,0.8647053844484803,0.017091887664751695,0.850966830764732,0.20160523959167367,9.257221229147671,2.0488338588977686
dedicated,29,43,1000,15.164060083067088,20.884752367896436,1.1582244612700274,0.21624854870897067,0.8647053844484803,0.017091887664751695,2.075579524102203,0.45254862240398575,9.257221229147671,2.0488338588977686
dedicated,31,39,1000,15.742766102733476,25.846069592698143,1.4072681161685276,0.3555485232584116,0.8286779271845159,0.014470243899391852,0.850966830764732,0.20160523959167367,17.652644450500983,3.0584601664239472
dedicated,31,36,1000,16.490116975166828,29.234558682157573,1.4072681161685276,0.3555485232584116,0.8029670440529065,0.013549809101819358,0.850966830764732,0.20160523959167367,26.749186365258826,3.7143511182951583
dedicated,29,39,1000,16.58417542735143,25.95392287611797,1.1582244612700274,0.21624854870897067,0.8286779271845159,0.014470243899391852,2.075579524102203,0.45254862240398575,17.652644450500983,3.0584601664239472
dedicated,31,40,1000,17.140738761102607,26.878489889151876,1.4072681161685276,0.3555485232584116,0.8371215673353548,0.01464835809879962,0.850966830764732,0.20160523959167367,15.153636883412867,2.810832287192915
dedicated,29,36,1000,17.331526299784784,29.32028728693979,1.1582244612700274,0.21624854870897067,0.8029670440529065,0.013549809101819358,2.075579524102203,0.45254862240398575,26.749186365258826,3.7143511182951583
dedicated,29,40,1000,17.982148085720556,26.98333381594305,1.1582244612700274,0.21624854870897067,0.8371215673353548,0.01464835809879962,2.075579524102203,0.45254862240398575,15.153636883412867,2.810832287192915
